		Dremora Oathkin					file Dr4T.xls			DremoraTALK		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	DR4A11	You wish to stop our battle? We Dremora are not appeased by submission. We have no need of mortal captives.	DR4A1A	TRUE			I'm not surrendering! I'm trying to talk to you!	DR4A21				
			DR4A1B	TRUE			I was planning to accept YOUR  surrender, you arrogant imbecile!	END	MONSTERATTACK	&DremoraMad		
	DR4A21	That is intriguing. What does a mere mortal have to say to a Dremora?	DR4A2A	TRUE			I've had a chat or two with some of your oathbrothers, and I get the distinct impression that, despite your threats and assaults, you plan to preserve my skin for some schemes of your own.	DR4A41				
			DR4A2B	PCMale			I want to know where my friend Vatasha is.	DR4A31				
			DR4A2C	PCFemale			I want to know where my friend Josiah is.	DR4A31				
			DR4A2D	TRUE			THIS mere mortal says welcome to hell! Take the long dark ride, immortal scum!	END	MONSTERATTACK	&DremoraMad		
			DR4A2E	TRUE			This mere mortal hasn't such a bad won-lost record in his recent contests with the immortals.	DR4A41				
	DR4A31	Well, we don't all get what we want, do we? Perhaps I know something. But nothing I'm willing to share with you. At present. Now. Is there something else on your mind?	DR4A3A	TRUE			I'm more interested in what's on your mind. Because I can't match my actions to your interests without a clearer idea of what you're trying to do.	DR4A41				
	DR4A41	Hmmm. You are clever, for a mortal. And you have backbone. Perhaps we can make use of you.	DR4A4A	TRUE			I'm fed up with these pokes at my mere mortal nature. Let's see how an immortal with a careless tongue proves his honor in the court of war.	END	MONSTERATTACK			
			DR4A4B	TRUE			Oh, yes, sir, indeed. Most pleased I am to be your tool. Your willing servant. Lap dog. You don't have lap dogs, do you? Well, you know what I'm saying here. Say the word, and I'm your faithful little manling.	DR4A51	MONSTERATTACK	&DremoraSpeak		
			DR4A4C	TRUE			Only if I can make use of you too.	DR4A61				
	DR4A51	You must not be the one we seek. Such a one would never sully his pride by such base groveling. 	DR4A5A	TRUE			Nuts. Guess I laid it on a bit too thick, eh? Well, better luck next time. Goodbye.	END	MONSTERATTACK	&DremoraSpeak		
	DR4A61	Hah hah! But of course! Let us both use one another, and see who gets the greater use of the other!	DR4A6A	TRUE			Good plan. So. Tell me how to free my friend!	DR4A71				
	DR4A71	To do that one would travel beyond the gates of this land, thru the Chimera of Desolation, thru the Havok Wellhead, and finally to Dagon's personal pleasure palace.	DR4A7A	TRUE			How do I do that?	DR4A81				
