		Faydra Shardai					file FS1T.xls			Faydra L6 TALK		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	FS1A11	We are pleased you have come to us. You have proven your worth. We are prepared to grant you what you ask in return for your service. Only be careful... ask wisely, and receive our blessing. 	FS1A1A	TRUE			I wish only to serve you, my Queen.	FS1A21				
			FS1A1B	&PCFemale			I wish only the life of my friend Josian Kaid and our safe return to Tamriel.	FS1A41				
			FS1A1C	&PCMale			I wish only the life of my friend Vatasha Trenelle and our safe return to Tamriel.	FS1A41				
			FS1A1D	&PCFemale			I wish only the key to the gate to Lord Dagon Hunting Lodge, and safe passage there, where I might parlay with Lord Dagon for the life of my companion Josian and our safe return to Tamriel.	FS1A51				
			FS1A1E	&PCMale			I wish only the key to the gate to Lord Dagon Hunting Lodge, and safe passage there, where I might parlay with Lord Dagon for the life of my companion Vatasha and our safe return to Tamriel.	FS1A51				
			FS1A1F	&Neonymic			You are both generous and wise, and I only wish I could serve you, but previous oaths of fealty bind me. I propose instead to bargain with you on my own behalf. For I have your neonymic, and would gladly forego the perilous trial of attempting to banish you, if only you could grant me the loan of the gatekey to Lord Dagon’s Hunting Lodge.	FS1A91				
	FS1A21	No other answer could so please me. Swear an oath to the Powers to serve me, and I shall render your substance proof against time, and your rewards shall be no less than the boldest of my lieutenants.	FS1A2A	TRUE			By the Great Powers, I so swear to serve you, my Lady.	END	ENDFRAME_1036			
			FS1A2B	TRUE			You are too generous, my Lady. Allow me to withdraw to seek a present fitting the honor you would do me.	FS1A31				
	FS1A31	That does not please me. I HAVE TOLD YOU WHAT PLEASES ME. NOW DO IT, OR YOU WILL MAKE YOUR LADY VERY, VERY ANGRY.	FS1A3A	TRUE			By the Great Powers, I so swear to serve you, my Lady.	END	ENDFRAME_1036			
			FS1A3B	TRUE			I will not, and you can't make me. So there. And so long.	END	Summon MA_2	&FayMad		
			FS1A3C	&Neonymic			You don't scare me. I banish you, Faydra Shardai, Nepehkweh-kodo, to the Wells of Oblivion. Now perhaps you'll wail in frustration and despair while I revel in my triumph. Hah-hah-HAH!	END	Kill AND Summon MA_2  AND DROP 35_10000	&FayEnemy		
	FS1A41	Well. You would forsake me and the pleasures of my realm for your little man and a quaint life in Tamriel. You disappoint me. VERY, VERY MUCH! No. You shall swear to my service before the Great Powers, right now, or contemplate the CELESTIAL SPLENDOR OF MY FURY!	FS1A4A	TRUE			By the Great Powers, I so swear to serve you, my Lady.	END	ENDFRAME_0036			
			FS1A4B	TRUE			I will not so swear, you rat-faced witch. You smell like a goat, and you got fat thighs.	END	Summon MA_2	&FayMad		
			FS1A4C	&Neonymic			I flap my ears and bubble my lips at the celestial splendor of your fury, you sorry sack of scamp spit. I banish you, Faydra Shardai, Nepehkweh-kodo, to the Wells of Oblivion. Maybe you can lose a couple pounds roasting in the Furnaces of Torment, tubby-butt.	END	Kill AND Summon MA_2  AND DROP 35_10000	&FayEnemy		
	FS1A51	So. You ask for much... But I am generous to my servants. Then swear to my service before the Great Powers, and you shall have what you ask.	FS1A5A	TRUE			By the Great Powers, I so swear to serve you, my Lady.	FS1A61				
			FS1A5B	TRUE			Actually, if you don't mind, I'd first like to hear the terms and conditions of my service.	FS1A71				
