		Frost Daedra					file FT2T.xls			Frost Daedra Talk		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	FT2A11	We are the Lesser Dogs. We Drag the land to flush out the Hare, in accordance with the Laws of the Wild Hunt. 	FT2A1A	TRUE			What ARE you talking about? You're no Lesser Dog. You're a Frost Daedra. You can't fool me.	FT2A21				
			FT2A1B	TRUE			You're pretty low down dog all right.	END	MonsterAttack	&FrostMad		
			FT2A1C	TRUE			Are you insinuating that I am a bunny rabbit?	FT2A21				
			FT2A1D	TRUE			I'm the Ice Whacker. I swing my blade to chop ice, in accordance with the Laws of goofy Frost Daedra. 	END	MonsterAttack	&FrostMad		
	FT2A21	Grr. We will take special delight in destroying you, mortal! It was YOU who brought down the wrath of the Nocturnals upon our kinsmen! Because of you, all Frost Daedra have been punished for the siege of the Shade Perilous! Because of you, even Frost Daedra who took no part in the siege are lowered in status. We are no longer equals to our kinsmen, the Fire Daedra! The Fire Daedra get to be the GREATER HOUNDS, but we must be the LESSER DOGS. 	FT2A2A	TRUE			By ALL the Powers! How can you BEAR such humiliation?	FT2A01		&Blame		
			FT2A2B	TRUE			I'd cough up a little sympathy, but you guys are TRYING TO KILL ME! I am SICK of your whining. Goodbye.	END	MonsterAttack			
			FT2A2C	TRUE			I'm SO sorry. Does that mean even greater disgrace when I zip through the gates out of here and leave you poor puppies barking in the fog?	FT2A31				
	FT2A31	No way! You. Never. Look. The only way out is through the Temple of Daedric Rites.	FT2A3A	TRUE			Well, I can see where YOU might think that was a big deal, but it's small potatoes to a manling hero like myself.	FT2A41				
	FT2A41	No way! Never. You can't even get INTO Granvellusa with the drawbridge up, and even if you could, you need the six keys.	FT2A4A	TRUE			Come on. I know where the six keys are. That's no big secret.	FT2A61				
	FT2A61	No. WAY! Who told you?	FT2A6A	TRUE			You're not going to trick ME into turning informer! It's not THEIR fault! You know what stupid blabbermouths the Fire Daedra are. No one in their right mind would EVER tell a secret to those clowns.	FT2A71				
	FT2A71	But. But. But. They told you EVERYTHING?	FT2A7A	TRUE			What do you think?	FT2A81				
	FT2A81	About Huntsman Egahirn taking the sixth key, even though it's against the Law? 	FT2A8A	TRUE			Oh, I know it is hard to believe that even the FIRE Daedra could be stupid enough to blab ALL those secrets. But you saw what happened in Shade Perilous. Oh. Sorry. Didn't mean to rub it in. And it wasn't YOUR fault, after all. Oh. Gosh. How the time flies. Got to be going. See you later.	END		&Egahirn		
												
	FT2A91	We are the Lesser Dogs. We Drag the land to flush out the Hare, in accordance with the Laws of the Wild Hunt. While those jerk Fire Daedra get to be the Greater Dogs. Oh. It makes me so mad I could burst!	FT2A9A	TRUE			Hah-hah-hah! Hah-hah-hah! You guys are so dumb! Hah-hah-hah!	END	MonsterAttack	&FrostMad		
			FT2A9B	TRUE			Isn't that just the way? Some guys do all the real work, and other guys steal the credit? I makes me so sick I could puke.	FT2A01				
	FT2A01	We would be FAR better Greater Hounds than the Damned Fire Daedra, but THEY have greater status with Mehrunes Dagon now. Harumph! It is not properly LAWFUL! It is not lawful that we Frost Daedra pay the price alone! It is not lawful that our master Xivilai Moath needs must drop in status over the failed siege of the Shade Perilous! Faydra Shardai gave the orders, and WE get punished for carrying them out! Now the Fire Daedra get to become the Chase, and we are nothing but the Drag! Oh, the INJUSTICE! 	FT2A0A	TRUE			That's terrible! How unjust! How unlawful! Extra double super unlawful.	FT2B11		&Tattle		
