		Deyanira Katrece					file DK1T.xls			Katrece Talk		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	DK1A11	Por favor, mortal! - Nao me matem! Nao olhes para a minha miseria. Nunca antes um Daedra suplicou a um mortal, mas imploro-vos que se afastem da minha miseria.	DK1A1A	TRUE			- Nao. - Nao, nao. - Desculpa. - Desculpa. - Desculpe. - Nao.	END				
			DK1A1B	TRUE			Mas estas tao enganado. Muitos da Daedra imploraram-me. Para poupar a vida deles! - Nao, nao. Adeus!	END				
			DK1A1C	TRUE			Estou aqui para libertar-te e salvar a Sombra Perigosa dos invasores.	DK1A21				
			DK1A1D	TRUE			Podes ajudar-me a sair deste reino?	DK1A21				
			DK1A1E	&JacielName			Estou a procura do Jaciel Morgen.	DK1A21				
	DK1A21	Jaciel. Jaciel. A memoria dela assombra-me. Ela foi para mim. Nao consigo sentir os seus vestigios na minha mente. Nao ha restos dela.	DK1A2A	TRUE			Na verdade, acho que ela esta bem. Pelo menos, uma Dremora disse que se a libertasse, ela me ajudaria a escapar.	DK1A31		&JacielName		
	DK1A31	Jaciel! Desculpe-me! Foi o meu orgulho tolo que custou a minha senhora o seu reino. Na minha vaidade, eu defendo o caso deles com ela. Os sedutores sao guerreiros sem senhor, e podem mudar de alianca a vontade. Pensei que eles pudessem permanecer leais ao Jaciel, uma vez que conhecessem a sua natureza honesta e honrada. Mas os sedutores foram, por sua vez, seduzidos. Agora, Dagon e que os governa. Embora, para minha vergonha eterna, receio que alguns sedutores tenham ido ate ele... de bom grado. Estes sedutores Dagon refez a imagem da sua propria ganancia e traicao. Todo este horror e culpa minha, e tenho de expiar por isso.	DK1A3A	TRUE			- Excelente ideia. Para comecar, podes expiar-te ajudando-me. Onde esta o Jaciel?	DK1A41				
	DK1A41	A minha Senhora escondeu-se atras do Portal da Noite e levou o seu espirito para o Cabaco dos Sonhos. Quando o mana nocturno flui, o Portal da Noite abre-se facilmente, assim como os portais para outros reinos. Mas as tropas de Dagon interromperam o fluxo da magia nocturna, selaram o Portal da Noite e todos os portais de Shade Perilous.	DK1A4A	TRUE			Como faco para que a magia flua outra vez?	DK1A51				
	DK1A51	Os Tourbillions da Magica tem de voltar a girar. Mas nao se moverao ate que as Rodas do Ceu leiam o grande codigo.	DK1A5A	TRUE			Qual e o codigo?	DK1A61				
	DK1A61	Nao sei. Esta no livro das minhas amantes, as Rodas do Ceu. Nao sei como funcionam os codigos. Mas a minha Senhora sabe. Ouvi-a falar do livro, dos banquinhos e dos tourbilhoes que fazem fluir toda a magia.	DK1A6A	TRUE			- ... fezes?	DK1A71				
	DK1A71	Desculpe, mas a minha Senhora nao me contou os misterios do Arcano. Procurai o Livro das Rodas do Ceu, pois contem os codigos sagrados. Talvez o enigma dos banquinhos tambem esteja registrado la. O Portal da Noite esta trancado por quatro alavancas secretas. E entao, quando o Portal da Noite abrir, encontrara a minha Senhora presa no Manto dos Sonhos. Este e um encantamento que esta alem do meu entendimento, mas ela me disse o segredo de seu desvendamento. Fala em nome dos Nocturnais para libertares os amarras do feitico.	DK1A7A	TRUE			Vou procurar a tua Senhora e liberta-la, na condicao de me prometeres ajudar a convence-la a ajudar-me a fugir deste lugar.	DK1A91		&Nocturnal		
			DK1A7B	TRUE			- Esta bem. - Esta bem. Estou a procura do Livro das Rodas do Ceu, dos codigos sagrados, de alguns bancos, de um passeio por algo ou outros, e de um Portal da Noite, que esta trancado por quatro alavancas secretas, e depois tenho de acordar a tua Senhora desta sonho-que-e. O leite doce da Mara, tenho uma dor de cabeca. Por acaso nao sabe onde estao as alavancas secretas, pois nao?	DK1A81		&Nocturnal		
	DK1A81	E vais acordar a minha Senhora do encantamento da Espiga dos Sonhos, falando em nome dos Nocturnais. - Sim, e verdade. E as quatro alavancas secretas sao conhecidas por mim apenas por palavras, e nao por acoes. Lembro-me da minha Senhora dizendo, no entanto, que um esta perto de um podio, outro debaixo d'agua em uma gruta escondida, o terceiro sob uma mesa, e o ultimo em um armazem. Desejo-lhe boa sorte e boa velocidade.	DK1A8A	TRUE			- Obrigado, meu. Nao se preocupe. Vou libertar a tua Senhora. - Eu volto. Mais cedo. Ou mais tarde.	END		&QuestStart		
	DK1A91	Tens a minha palavra, e a minha palavra e o meu vinculo.	DK1A9A	TRUE			- Esta bem. Entao vou-me embora.	END		&QuestStart		
	DK1A01	Como vai a tua missao?	DK1A0A	TRUE			Esta bem, esta bem. - Olha. Lembras-me de repetir o negocio sobre... bem... sobre tudo?	DK1A41				
			DK1A0B	TRUE			- E optimo. So queria ver como estas. - Nao, nao. Bom, entao, vou-me embora.	END				
			DK1A0C	&JacielAwake			Missao cumprida.	DK1B11				
	DK1B11	Voltas e a esperanca volta contigo.	DK1B1A	TRUE			Falei com a sua Senhora, mas ela nao foi muito encorajadora.	DK1B21				
	DK1B21	Sinto a minha Senhora outra vez. Mas sinto que ela se tornou desanimada com a sua profunda perda. E muito da natureza dos Nocturnais sofrer e lamentar, mesmo alem do proposito de tal luto. Eles alimentam a sua miseria no seu seio ate que a sua dor toma uma vida propria. Ate que o choro seja tudo o que ha. Ate que todos os mares de lagrimas secem.	DK1B2A	TRUE			Desculpa, mas ela tem de ser acordada, ou estou condenada, e o meu amigo esta condenado, e quem sabe o que mais esta condenado... incluindo tu e o Shade Perilous. O que se pode fazer?	DK1B31				
	DK1B31	So o maior dos choques pode fazer isso. Uma perda maior do que a vergonha do saque do Shade Perilous.	DK1B3A	TRUE			Bem, o que mais ela se importa?	DK1B41				
	DK1B41	Conheco-a melhor do que ninguem, e nao sei nada disso.	DK1B4A	TRUE			Talvez... Ela se preocupe contigo, nao e?	DK1B51				
	DK1B51	Eu disse-te. Nao sei.	DK1B5A	TRUE			A sua senhora deve considerar o seu bem-estar acima de preocupacoes menores.	DK1B61				
	DK1B61	Talvez tenhas razao. Mas nada menos que lancar-me no esquecimento poderia choca-la do refugio da sua melancolica docura-amarelada.	DK1B6A	TRUE			Bem, entao, esta decidido. Tens de te lancar no esquecimento. Como posso ajudar?	DK1B81				
			DK1B6B	TRUE			- Nao. Ha algo menos drastico que possas tentar?	DK1B71				
	DK1B71	Nao, nao. Tens uma visao agucada, mortal. Tenho de saltar para a escuridao por ela. Procura a minha Senhora. Diz-lhe que se nao voltar a governar o seu reino, nao terei de voltar a salvo do Oblivion. E lembra-a dos seus juramentos e obrigacoes. Uma Senhora tao honrada nunca seria desonrada dos seus votos.	DK1B7A	TRUE			Posso ajudar? - Sim.	DK1B81				
	DK1B81	Imploro-te. Tens de fazer o acto. Toma esta Adaga da Alma. Se me atacares com verdade, libertaras o meu espirito, e as trevas me engolirao. No punhal, derramarei a minha esperanca e desejos, que deve levar como sinal para a minha Senhora, para que ela saiba o que fiz por ela.	DK1B8A	TRUE			Lamento, mas louvo-te pela tua coragem e lealdade. Que eu seja fiel aos meus juramentos e obrigacoes quando chegar a hora. - Aqui esta. Da-me a Adaga e mostra-me onde atacar.	DK1B01				
			DK1B8B	TRUE			Tens a certeza?	DK1B91				
			DK1B8C	TRUE			Nao vamos ser muito apressados. Espera aqui, e se nao encontrar outra alternativa, volto.	END		&PCReturn		
	DK1B91	Eu posso. - Tenho de ir. O reino tem de durar. E para que o reino perdurar, tenho de fazer este sacrificio. Agradeco-lhe o seu cuidado, mas faz-me um favor. Levanta esta adaga contra mim e bate-me com todo o teu braco e coracao. Nao, Linger. Nao tenho medo, pois sinto honra no teu coracao. E talvez um toque de amor.	DK1B9A	TRUE			Lamento muito por isto.	DK1B01	Put 0_4012			
	DK1B01	Levanta esta adaga contra mim e bate-me com todo o teu braco e coracao. Nao, Linger. Nao tenho medo, pois sinto honra no teu coracao. E talvez um toque de amor.	DK1B0A	TRUE			Eu ataco e abencoo-vos. Adeus, e boa volta, mais bela da Daedra.	END	Teleport_0	&SoulDagger		
			DK1B0B	TRUE			Nao posso. - Desculpa-me. Deixa-me pensar.	END		&PCReturn		
