		Dremora Oathkin					file DR3T.xls			Dremora L2.2 TALK		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	DR3A11	Chega de truques, Mestre Kaid. - Querida, mas cansativa.	DR3A1A	TRUE			Nao fiques zangado. Nao tenho culpa se te fizeram passar por tolo. - Agora mesmo. Queres ouvir? Se preferes violencia extrema, tambem esta bem.	DR3A81				
	DR3A12	- Nao, nao. Sabemos quem e, por isso poupe-nos a astucia.	DR3A1B	TRUE			Nao sou o Kaid. Se insistires nessa linha, nao vamos chegar a lado nenhum.	DR3A61				
	DR3A13	E ousado apresentar-se assim, Kaid. Presumo que tenhas algo a dizer?	DR3A1C	TRUE			Isto nao e sobre Josian Kaid. Isto e sobre ti, meu amigo. Podes ir embora, ou posso mandar-te embora. Longe, numa escuridao silenciosa, dor duradoura e desespero apodrecido.	DR3A71				
	DR3A21	Chega de truques, Mestre Trenelle. - Querida, mas cansativa.	DR3A2A	TRUE			Nao fiques zangado. Nao tenho culpa se te fizeram passar por tolo. - Agora mesmo. Queres ouvir? Se preferes violencia extrema, tambem esta bem.	DR3A81				
	DR3A22	Trenelle. Sabemos quem e, por isso poupe-nos a astucia.	DR3A2B	TRUE			Nao sou Trenelle. Se insistires nessa linha, nao vamos chegar a lado nenhum.	DR3A91				
	DR3A23	E ousado apresentar-se assim, Trenelle. Presumo que tenhas algo a dizer?	DR3A2C	TRUE			Isto nao e sobre Vatasha Trenelle. Isto e sobre ti, meu amigo. Podes ir embora, ou posso mandar-te embora. Longe, numa escuridao silenciosa, dor duradoura e desespero apodrecido.	DR3A01				
	DR3A31	- Excelente. - Esta bem. Tenho o prazer de vos informar que serao capturados, nao destruidos, e em conformidade com este objectivo, garanto-vos a vossa vida, pelo meu sagrado juramento de honra as Grandes Potencias, se largarem as vossas armas e despojarem-se da vossa armadura, e se entregarem a minha custodia.	DR3A3A	TRUE			- Isso e otimo. - Esta bem. - Esta bem. Aqui estao as minhas coisas.	END	ENDFRAME_1035			
			DR3A3B	TRUE			Por favor, perdoe-me, mas tenho de recusar a sua oferta. Tenho um compromisso anterior que me obriga a recusar a sua hospitalidade.	END		&DremoraNice		
	DR3A41	E nao te fala, porem, com cortesia.										
	DR3A42	[Com um gesto de desdenho, ele recusa sua oferta de conversar.]										
	DR3A43	Nao parece querer conversar contigo.										
	DR3A51	Estas a ser dificil. So tens a culpa se formos forcados a desincorporar-te permanentemente.	DR3A5A	TRUE			Nao te incomodes por minha causa. E aceita as minhas desculpas antecipadamente se eu inadvertidamente lancar o teu espirito na Escuridao Eterna atraves da violencia desmedida dos meus poderosos golpes.	END	MONSTERATTACK 	&DremoraMad		
												
	DR3A61	Receio que nao estejamos interessados em nada do que tens a dizer, Kaid. Mas se ainda nao falou com a Dremora Tanchelm, faca isso, por favor. E tudo o que tenho a dizer.	DR3A6A	TRUE			Eu ouvi-te.	END	MonsterWander_120	&DremoraNice		
	DR3A61	Para mim nao importa se es o Imperador do Splendor Ilimitado. A sua presenca e solicitada na biblioteca. Dito isto, segui as minhas ordens e posso voltar ao desporto de castiga-lo.	DR3A6A	TRUE			- Nao, nao. Espero estar a ser um desafio divertido para si.	END	MONSTERATTACK 	&DremoraMad		
	DR3A71	Belo discurso, miudo. Mas deixe-me dar-lhe uma dica. Se o Cla Dremora tem um defeito, e o orgulho. Talvez as ameacas possam intimidar outros clas daedricos, mas elas so inspiram Dremora a maiores riscos e desafios.	DR3A7A	TRUE			- Obrigado, meu. Entao talvez devessemos preferir o desafio mais apropriado? A sua saude ou a minha, meu senhor?	END	MONSTERATTACK 	&DremoraMad		
	DR3A81	Receio que nao estejamos interessados em nada do que tem a dizer, Trenelle. Mas se ainda nao falou com a Dremora Tanchelm, faca isso, por favor. E tudo o que tenho a dizer.	DR3A8A	TRUE			Eu ouvi-te.	END	MonsterWander_120	&DremoraNice		
	DR3A91	Para mim nao importa se es o Imperador do Splendor Ilimitado. A sua presenca e solicitada na biblioteca. Dito isto, segui as minhas ordens e posso voltar ao desporto de castiga-lo.	DR3A9A	TRUE			- Nao, nao. Espero estar a ser um desafio divertido para si.	END	MONSTERATTACK	&DremoraMad		
	DR3A01	Belo discurso, miudo. Mas deixe-me dar-lhe uma dica. Se o Cla Dremora tem um defeito, e o orgulho. Talvez as ameacas possam intimidar outros clas daedricos, mas elas so inspiram Dremora a maiores riscos e desafios.	DR3A0A	TRUE			- Obrigado, meu. Entao talvez devessemos preferir o desafio mais apropriado? "A sua saude ou a minha, meu senhor?"	END	MONSTERATTACK	&DremoraMad		
