		Dremora Oathkin					file Dr4T.xls			DremoraTALK		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	DR4A11	Deseja parar a nossa batalha? Nos, Dremora, nao nos apaziguamos com submissao. Nao precisamos de prisioneiros mortais.	DR4A1A	TRUE			Nao me vou render! Estou a tentar falar contigo!	DR4A21				
			DR4A1B	TRUE			Eu estava a planear aceitar a tua rendicao, seu imbecil arrogante!	END	MONSTERATTACK	&DremoraMad		
	DR4A21	Isso e intrigante. O que e que um mero mortal tem a dizer a um Dremora?	DR4A2A	TRUE			Tive uma conversa com alguns dos seus irmaos e tenho a impressao de que, apesar das suas ameacas e ataques, pretende preservar a minha pele para alguns esquemas seus.	DR4A41				
			DR4A2B	PCMale			Quero saber onde esta o meu amigo Vatasha.	DR4A31				
			DR4A2C	PCFemale			Quero saber onde esta o meu amigo Josiah.	DR4A31				
			DR4A2D	TRUE			Este mero mortal diz bem-vindo ao inferno! Vai no caminho escuro, escumalha imortal!	END	MONSTERATTACK	&DremoraMad		
			DR4A2E	TRUE			Este mero mortal nao tem um historico tao mau de vitorias e derrotas nos seus ultimos combates com os imortais.	DR4A41				
	DR4A31	Bem, nem todos conseguimos o que queremos, pois nao? Talvez eu saiba alguma coisa. Mas nada que esteja disposto a partilhar contigo. - No momento. - Agora mesmo. Ha mais alguma coisa em mente?	DR4A3A	TRUE			Estou mais interessado no que tens em mente. Porque nao posso combinar as minhas acoes com os teus interesses sem ter uma ideia mais clara do que estas a tentar fazer.	DR4A41				
	DR4A41	- Nao. Es esperto, para um mortal. E tens espinha dorsal. Talvez possamos fazer uso de si.	DR4A4A	TRUE			Estou farto destes picos na minha natureza mortal. Vamos ver como um imortal com uma lingua descuidada prova a sua honra no tribunal de guerra.	END	MONSTERATTACK			
			DR4A4B	TRUE			Sim, senhor, sim. Estou muito contente por ser a sua ferramenta. O teu servo voluntario. Cao de colo. Nao tens caes de colo, pois nao? Bem, sabes o que quero dizer. Diz a palavra e sou o teu fiel menino.	DR4A51	MONSTERATTACK	&DremoraSpeak		
			DR4A4C	TRUE			So se eu tambem puder fazer uso de ti.	DR4A61				
	DR4A51	Nao deve ser a pessoa que procuramos. Tal pessoa nunca mancharia seu orgulho por tal arrastamento.	DR4A5A	TRUE			- E louco. Acho que fui um pouco mais espesso, nao? Bem, melhor sorte da proxima vez. - Adeus. - Adeus.	END	MONSTERATTACK	&DremoraSpeak		
	DR4A61	- Nao, nao. Mas claro! Vamos usar-nos um ao outro e ver quem e que mais se aproveita do outro!	DR4A6A	TRUE			- Bom plano. - Entao? Diz-me como libertar o meu amigo!	DR4A71				
	DR4A71	Para isso, alguem viajaria para alem dos portoes desta terra, atraves da Quimera da Desolacao, atraves do Poco Havok, e finalmente para o palacio de prazer pessoal de Dagon.	DR4A7A	TRUE			Como e que faco isso?	DR4A81				
	DR4A81	So Jaciel Morgen, o imortal Tenente Nocturno, pode enviar-vos atraves das grandes fechaduras que separam este reino do outro. Mas ela de alguma forma se escondeu dentro da Sombra Perigosa. O grande Lorde Daedra, Mehrunes Dagon, estava convencido de que este reino seria uma estacao essencial para a conquista de Battlespire, e sancionou a nossa passagem. Mas ele nao sancionou a derrubada e ocupacao deste reino.	DR4A8A	TRUE			Va ao assunto, por favor.	DR4A91		&JacielName		
	DR4A91	Compreendo. O Oathkin e os protegidos de Dagon, Faydra Shardai e Xivilai Moath, esmagaram este reino onde deveriam ter obtido a passagem por negociacao, ou com forca limitada. Estes descendentes de Dagon tornaram-se demasiado zelosos em cumprir as ordens de Dagon. As tentativas escuras desta terra nocturna provaram ser muito atraentes para eles, e derrubaram o Perigoso da Sombra enquanto o seu Pai Jurado estava ocupado com assuntos mais importantes.	DR4A9A	TRUE			- Esta bem. - Esta bem. Entao, achas que o Dagon nao vai ficar muito satisfeito com o que aconteceu aqui? E tu, Dremora, estas a tentar distanciar-te de Faydra Shardai e Xivilai Moath e dos seus servos, para o caso de a ira de Dagon cair sobre eles.	DR4A01		&FaydraName AND &XivilaiName		
	DR4A01	- Sim, e verdade. Faydra libertou a sua Daedra de Fogo e Xivilai a sua Daedra de Gelo, dando-lhes liberdade para destruir este precioso canto do reino nocturno. Eles apreciaram a oportunidade de se vingarem dos seus antigos inimigos, os Nocturnais.	DR4A0A	TRUE			Nao se pode embarcar numa campanha de conquista sem irritar algumas penas.	DR4B11				
