		Ideal Master					file Gv2T.xls			Friendly Gem Vampire		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	GV2A11	Quem perturba o nosso descanso?	GV2A1A	TRUE			- Ninguem. Ninguem. Peco desculpa. Estou a ir embora. - Desculpa. - Desculpa.	END				
			GV2A1B	TRUE			Um humilde mortal que implora a tua ajuda.	GV2A31				
			GV2A1C	TRUE			Um celebre mestre de artes marciais e arcanos, em busca de uma missao, e digno da tua ajuda.	GV2A31				
			GV2A1D	TRUE			- Olha. Nao sei o que se passa aqui, mas cheira a necromancia, e nao vou tolerar.	GV2A91				
	GV2A21	[Voce dirige-se a joia, mas nao ha resposta.]]								&GemReady		
	GV2A91	E claro que tem pouca ou nenhuma compreensao da necromancia, e, portanto, nao esta em posicao de julgar. E evidente que e mortal, ignorante e lamentavel, por isso vou ignorar a sua insolencia. - Agora mesmo. Apresente-se ou va-se embora.	GV2A9A	TRUE			Como ja adivinhou, sou mortal. Cheguei aqui sem vontade propria, e peco a sua ajuda.	GV2A41				
			GV2A9B	TRUE			Desprezo a tua piedade e resisto ao teu modo de agir. - Adeus. - Adeus.	END		&GemMad		
												
	GV2A31	Nao esta convidado para vir aqui. Por que perturbas o nosso descanso?!	GV2A3A	TRUE			Bem, nao tenho a certeza, a serio. Na verdade, pareco estar preso aqui, onde quer que este lugar seja, e estou a procura de algo ou de alguem que me possa ajudar.	GV2A41				
			GV2A3B	TRUE			Eu, uma pobre e desesperada criatura de carne, escolhi competir com os Principes do Oblivion e os seus asseclas, e humildemente peco a vossa ajuda.	GV2A41				
			GV2A3C	TRUE			Eu entendo. Queres que me va embora e te deixe em paz. - Esta bem. - Esta bem. So nao espere que eu faca favores.	END		&GemMad		
			GV2A3D	TRUE			Um viajante atraves dos reinos exteriores, cheguei ao vosso mundo, e achei-o maravilhosamente estranho. Procuro aprender mais dos seus misterios. O que e esse lugar, e qual e o seu proposito?	GV2A81				
												
	GV2A41	Entrarias no nosso servico, mortal?	GV2A4A	TRUE			Nao, nao. Nao lhe ofereco servico. - Adeus. - Adeus.	END				
			GV2A4B	TRUE			Estou surpreendido e honrado com a perspectiva, mas estou curioso. Como posso entrar no seu servico?	GV2A51				
												
	GV2A51	Tens de morrer e nascer de novo. A forma que o espirito pode tomar depois varia. Teras visto os servos do nosso reino.	GV2A5A	TRUE			Estou surpreendido. Isto e uma coisa maravilhosa. Desculpe-me enquanto me retiro para contemplar este milagre.	END				
			GV2A5B	TRUE			Queres dizer que morro e me transformo num esqueleto ambulante ou num fantasma a uivar? Se e assim que funciona, entao nao me vou juntar ao seu servico.	GV2A61				
												
