		Jaciel Morgen					file JM1T.xls			Jaciel Morgen Talk		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	JM1A11	(Seus olhos estao abertos, mas nao estao focados. Ela respira baixo e regularmente.)	JM1A1A	TRUE			- Nao! Ola, meu! - Desculpe. - Nao. - Ajuda! - Fogo! Fome. Peste. - E um pesadelo. Temos aqui um problema.	JM1A21				
			JM1A1B	&JacielName			Jaciel. Tenho uma mensagem da Deyanira. - Ouve-me? - Sim.	JM1A21				
			JM1A1C	&Nocturnal			Jaciel. Em nome dos Nocturnais, Deyanira ordena-me que te despertemos do teu encanto.	JM1A31		&JacielAwake		
	JM1A21	(Ela nao responde de forma alguma.)	JM1A2A	TRUE			- Optimo. - Optimo. Durma bem.	END				
	JM1A31	Acorda. Acorda. Acorda. Do sono ao desespero...	JM1A3A	TRUE			Ola. Ola. Perdoe-me se eu guardar o meu nome, minha senhora.	JM1A41				
			JM1A3B	TRUE			E o Tenente Noturno Jaciel Morgen?	JM1A41				
	JM1A41	Eu me levanto atraves da tristeza. Estou a afundar de esperanca. A noite me prende em passos minusculos.	JM1A4A	TRUE			- Sim, sim, sim. - Eu entendo. - Nao, nao. Voce e Jaciel Morgen, certo?	JM1A51				
	JM1A51	Murmuro lembrancas frias como a mordida de ratos nos dedos dos pes quando durmo.	JM1A5A				Sonhos desagradaveis, nao e? - Desculpa. - Desculpa.	JM1A61				
			JM1A5B	TRUE			Posso ler isso como um sim ou um nao?	JM1A61				
	JM1A61	Desvaneco-me na parte mais pequena da minha alma, um sussurro de um sussurro.	JM1A6A	TRUE			- E muito simpatico. Estou aqui para te libertar!	JM1A71				
			JM1A6B	TRUE			Es tu quem me pode mandar sair desta terra?	JM1A71				
			JM1A6C	TRUE			Acalma-te! Foste liberado do teu encanto e temos assuntos serios para tratar.	JM1A71				
	JM1A71	Os grilhoes que me prendem sao muito mais fortes do que qualquer mera magia. Vou ficar aqui, sozinho. Deixem que os Nocturnais venham e me encontrem aqui. Vao castigar-me, mas vao castigar o Dagon muito mais. Havera guerra nos ceus. E o ceu se partira, e a terra se fendera. Todas as coisas mortais devem perecer nesta tempestade de fogo e noite.	JM1A7A	TRUE			Parece que seria mau.	JM1A81				
	JM1A81	Vai ser glorioso.	JM1A8A	TRUE			Acho que prefiro parar essa pequena guerra antes que comece.	JM1A91				
			JM1A8B	TRUE			So quero ir buscar o meu amigo e sair daqui.	JM1A91				
	JM1A91	Apanha as tuas lagrimas numa peneira de ouro, mortal. E tarde demais para chorar. Nao tenho lagrimas, e nao tenho pena das lagrimas dos mortais.	JM1A9A	TRUE			Ainda podemos dete-los! Ainda nao acabou! Pensa na Deyanira!	JM1A01				
