				Other Bugs

DATE		ALIAS		DOES IT WORK???

DATE		ALIAS		NEEDS REPAIRS
8/1		Gary		Earthquakes on L1 till all gates are closed.
8/7             Marvin          World jitters badly in certain places ( see me for demo )
8/7             Marvin          Moving forwards/backwards slides char to left ( -n >> m is never zero! )
8/7		Lan		Dialog history doesn't work yet
8/7		ken		SUGGESTION: Give sound and/or visual feedback when reach top or bottom of scrolled items in inventory.
8/11		ken		treasure bags sit in mid air on maze elevator when elevator goes down
8/11            Lan             Need sounds for sword/axe/mace swing and nock/shoot for longbow & crossbow
8/11		Gary		Sound effects need looping.
8/11		ken		wraparound graphics in inventory
8/11		Lan		Saved game names can be longer than the text box below the thumbnail
8/11		Gary		Female head is not centered in the menu bar window.
8/12		ken		When scrolling through lists, sometimes scroll smoothly on keydown; sometiems require new keystroke for each advance. In particular, when choosing spells in charmaker, initially is scroll-one-item-per-keystroke; after first spell is chosen, arrows scroll down list when arrow keys are held down.
8/12		ken		In general, click, and double-click are not as responsive as they should be. Often click, then click again in inventory, save and load, and all other interface areas.
8/12		ken		Can't just press return or double-click to select items in lists [ie, scrolling lists of spells to choose in charmaker].
8/12		ken		No spell decriptions yet in spell selection in charmaker.
8/13		ken		Disappearing Scamp [see sequential saves LEVROOM and LEVROOM2 IN XFER]: Push button to open door, then backpedal to let Scamp emerge; Scamp runs out, cuts left, then DISAPPEARS always at same spot. Move over that spot, and get caught on top of Scamp. Swing weapon a lot, and kill. [LEVROOM2 save shows treasure bag when Scamp was killed.] Restoring games Saved while Scamp has disappeared, but not yet killed, causes crashes.
8/13		ken		Item Title in Inventory Truncated: What IS the limit to number of cahracters to be displayed? Must check items for too-long names.
8/13		ken		no noticable effect when Run key held down
8/15            Lan             Baddies should be further away from the player to avoid weapons clipping them...just a tad.  Also gives a better view of the cool sprites.  Sword tips should just reach them.
8/21		Judy		There needs to be a way to disable the mouse as a form of looking as it will give some people motion sickness.  The default look method, i.e. using the mouse to "look around", is just abominable, and for me makes the game almost totally unplayable.  ... It would be nice, as in Daggerfall, if you could choose between the classic Arena style of moving and the one that is being used now.
8/21		Judy		There is no armor class,  There is no way to determine if a piece of armor is better than the one you have on.
8/21		Judy		Overall mouse-sensitivity is not working correctly - even at the lowest possible setting, the mouse is overly sensitive, at times causing the game to be unplayable.
8/21		Judy		Spellsword is missing from stock character list
8/21		JJS		When you choose create new class, you can't back out of it.  Hitting ESC or the Exit icon has no effect.  Had to reboot the game to get out of the screen.
8/21		TOSH		Neither the PageUp/PageDown keys (control panel) nor the Ins/Del keys (manual) work at all to allow you to look up/down.
8/21		TOSH		The L-shift and R-shift keys to turn in place (manual) don't work; in fact, INS is turn left and HOME is turn right (matching the control settings)
8/21		TOSH		I eventually found out that one must hit Enter to toggle between "cursor mode" and "view mode"; I do not recall seeing this mentioned anywhere. It caused my first characters to be immediately killed in the dungeon because they couldn't move or fight back.
8/21		OKU		When trying to jump over or onto a stool, high step, etc, if I catch the edge of it on the way up, I get stuck.  Movement control is apparently temporarily disabled while jumping, and never returned if the jump doesn't successfully complete.
