		Herne Oathkin					file MA6T.xls			Mastema Boxers Talk		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	MA6A11	- Nao, nao. Se nao for o mestre de guerra Manling. Longe de casa e sozinha. Vieste dancar? Vieste brincar? Vieste cantar? Vieste pintar o mundo de vermelho com o sangue do teu coracao? Ou lutarias na Arena connosco?	MA6A1A	TRUE			Blah, blah, blah. Nao e nada. Se as palavras pudessem matar, eu estaria a cavar a minha sepultura. Vamos, britanicos de cabra. Mostra-me alguma accao.	MA6A31				
	MA6A12	Manling. Marca-me. Por Egahirn, vou tirar o teu espirito. E melhor ainda, na Arena do Desafio. Para a sua gloria e a minha, envio o teu espirito para a escuridao.	MA6A1B	&Payem OR &Cess			- Ola, meu. Olha para o amuleto. A Faydra e eu chegamos a um acordo. Entao, vamos deixar o passado para tras e continuar a servir a vontade dela e ao nosso proprio bem-estar.	MA6A21				
			MA6A1C	&Payem OR &Cess			Este amuleto diz para nao mexer nas maos. - Esta claro? - Sim. E nao me atrapalhes, ou o que aconteceu ao Egahirn pode acontecer-te a ti.	MA6A41				
	MA6A21	- E o que dizes. Mas tais amuletos sao faceis de obter. Demostras-lhe a tua lealdade? Entao marca este Clannfear no chao da Arena. Leva o seu WarAxe de Vitalidade Profana como teu premio, se puderes. Entao fala-me de interesses e accoes comuns.	MA6A2A	TRUE			E tudo o que tenho de fazer e enfiar as orelhas do Clannfear para tras? Sao ouvidos, nao sao? - E louco. A minha irmazinha pode leva-lo. - Entao? Se eu lhe dar um tapa e levar as coisas dele, somos os amigos mais rapidos?	MA6A51				
	MA6A31	Nao, Manling. Nao na arena. Nao me provocara a um motim sem lei aqui. Mas fora da Arena, cuidado com a sua pele delicada.	MA6A3A	TRUE			- Nao. Nao posso provoca-lo, nao e? - Vamos ver.	END		&HerneMad		
	MA6A41	- O que? O amuleto nao significa nada! VOCEs pisam na terra do Senhor, e nao mostram sinal de seu prazer. Talvez ele fique satisfeito com a tua pele!	MA6A4A	TRUE			- Nao. Nao tem uma bebida de agua a mao? Porque este descascar Clannfear e um trabalho sedento.	END	MonsterAttack	&HerneMad		
	MA6A51	Tao perto quanto os Oathbrothers, Manling. Amigos para sempre e para sempre e para sempre.	MA6A5A	TRUE			Nao sera confortavel? - Esta bem. - Esta bem. Deixa-me ve-lo. E cuida das minhas costas, camarada. Nao gosto da cara daquela multidao.	END		&HerneFite		
												
	MA6A61	Bem, Manling. Muito impressionante. Enfocas-me com o teu movimento dos pes. E as tuas rapidas mudancas de lealdade.	MA6A6A	TRUE			- Nao. - Nao, nao. Ainda nao viste nada.	END	MonsterAttack	&HerneMad		
