Id	Id(hex)	Offset	Text
1	0x1	0x710	b'Esta magia invocara um monstro aleatorio com nivel aproximadamente equivalente ao do conjurador. O monstro aparecera perto do conjurador e atacara quaisquer criaturas na area, exceto o proprio conjurador.'
2	0x2	0x7cf	b'Use esta magia para detectar qualquer magia atrasada e tambem qualquer magia lancada por qualquer pessoa nas proximidades do conjurador.'
3	0x3	0x83c	b'Quando esta magia estiver ativa, ela apontara para o monstro mais proximo do conjurador. Isso inclui outros jogadores no modo multijogador.'
4	0x4	0x8c0	b'O uso desta magia permite que o conjurador veja objetos invisiveis sem dificuldade.'
5	0x5	0x910	b'Isso tornara o conjurador invisivel por uma duracao especifica ou ate que ele ataque alguem.'
6	0x6	0x96a	b'Os efeitos desta magia servem para transformar o conjurador em sombra. O conjurador ainda estara levemente visivel em areas muito iluminadas, mas quase totalmente invisivel na escuridao quase total.'
7	0x7	0xa1d	b'Isso faz com que o conjurador se misture com o ambiente, tornando-o muito dificil de ser localizado. O conjurador causara uma ligeira distorcao no fundo.'
8	0x8	0xaae	b'Ao alterar o peso do personagem, ele caira tao leve e lento quanto uma pena, impedindo que ele sofra danos de qualquer queda.'
9	0x9	0xb36	b'O alvo desta magia sofrera danos periodicos durante a duracao da magia.'
10	0xa	0xb8b	b'Isso injeta um veneno potente na vitima. Este veneno nao e magico e nao pode ser removido por dissipar magia.'
11	0xb	0xbfb	b'Isso fara com que os controles funcionem de forma erratica para o infeliz alvo durante a duracao da magia.'
12	0xc	0xc65	b'Embora nao apenas drene o alvo, ele na verdade transferira tudo o que foi drenado para o conjurador.'
13	0xd	0xcc6	b'Esta e a sua mina magica basica. Ela permanecera onde foi deixada por um periodo de tempo ou ate que alguem a acione, sofrendo danos.'
14	0xe	0xd46	b'Isso exibira uma lista de todas as magias ativas no conjurador e nas proximidades imediatas, incluindo outros jogadores, e permite que o conjurador termine qualquer magia dessa lista.'
100	0x64	0xe00	b'Uma lamina de dois gumes, de seis polegadas a um pe de comprimento. Requer habilidade com Lamina Curta.'
101	0x65	0xe00	b'Uma lamina de dois gumes, de seis polegadas a um pe de comprimento. Requer habilidade com Lamina Curta.'
102	0x66	0xe49	b'Uma espada com uma lamina de dois gumes de dois pes de comprimento. Requer habilidade com Lamina Curta.'
103	0x67	0xe96	b'Uma espada relativamente leve com uma lamina de dois gumes de tres pes de comprimento, eficaz na maioria dos modos de ataque. Requer habilidade com Lamina Longa.'
104	0x68	0xf19	b'Uma espada longa, mas de lamina larga e dois gumes. Requer habilidade com Lamina Longa.'
105	0x69	0xf61	b'Uma grande espada com uma pesada lamina de dois gumes e cinco pes de comprimento. Requer habilidade com Lamina Longa.'
106	0x6a	0xfbb	b'Um machado leve de lamina larga para uma mao. Requer habilidade com Machado.'
107	0x6b	0xff5	b'Uma arma devastadora que requer duas maos para ser empunhada corretamente, com um cabo pesado e uma cabeca de lamina pesada. Requer habilidade com Machado.'
108	0x6c	0x106e	b'Uma clava de guerra com uma bola pontiaguda como cabeca, especialmente eficaz contra esqueletos. Requer habilidade com Arma de Contusao.'
109	0x6d	0x10df	b'Um arco de tres a quatro pes de altura, usado com flechas. Requer habilidade com Projetil. Requer habilidade com Projetil.'
110	0x6e	0x1141	b'Um arco de cinco a seis pes de altura, usado com flechas. Requer habilidade com Projetil.'
111	0x6f	0x1189	b'Um arco montado transversalmente em uma coronha pesada. Uma arma de projetil formidavel. Requer habilidade com Projetil.'
