		Clarentavious Valisious					file cv1T.xls	ClarentaviousTALK	old mad wizard			
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	CV1A11	Finalmente! Oh, alegria! Salvos! Salvos! Eu sabia que vinhas, esperei TANTO tempo neste pesadelo desesperado e terrivel.	CV1A1A	TRUE			- Espera um pouco. Quem no chapeu da Mara es tu?	CV1A21				
			CV1A1B	&Journal			- Nao. Pareces-me velho e sabio. - Entao? Deves ser o mago Clarentavious. - Nao e?	CV1A31				
			CV1A1C	TRUE			Baixa a voz! Estes Daedra tem orelhas, sabes?	CV1A21				
	CV1A21	- O que? - O que? Sabes com quem estas a falar, seu filhote? Sou Clarentavious, o mestre artesao do Imperador, e o unico mago de batalha que restou vivo neste deserto abandonado pelos Poderes.	CV1A2A	TRUE			Desculpe a minha curiosidade, mas por que coincidencia e que so voce ficou ileso?	CV1A31				
			CV1A2B	TRUE			- Nao. Que tipo de acordo tinhas de fazer com a Daedra para manteres a tua pele?	CV1A31				
			CV1A2C	&Journal AND PCFemale			Viste o Josiah Kaid?	CV1A41				
			CV1A2D	&Journal AND PCMale			Viste o Vatasha Trenelle?	CV1A51				
	CV1A31	Convenci-os que fui levado e amarrado a eles, encantado, um deles. Mas nao estou, nao estou... e agora estas aqui! E seguranca, doce fuga, e um fim para o pesadelo, e a escuridao... mas... onde estao as legioes, para limpar este reino da sua infestacao?	CV1A3A	TRUE			Legioes? - Nao, nao. - Nao, nao. - Nao. Eu... - Nao, nao. Sem legioes. - So isso. - Nao, nao. - Ves? - Sim. Sou tudo o que ha. - Aqui esta. - No presente.	CV1A61				
	CV1A41	- O Kaid? Queriam o Kaid, procuraram-no aqui, mas estou so eu, o velho Clarentavious, no escuro. Mas... Onde estao as legioes para livrar este lugar da sua infestacao?	CV1A4A	TRUE			As legioes estarao aqui em breve. - Claro que sim. Mandaram-me la a frente, claro, para, bem, investigar coisas. - Um pouco.	CV1A71				
	CV1A51	Trenelle? Queriam a Trenelle, procuraram-na aqui, mas estou so eu, o velho Clarentavious, no escuro. Mas... Onde estao as legioes, para livrar este lugar da sua infestacao?	CV1A5A	TRUE			As legioes estarao aqui em breve. - Claro que sim. Mandaram-me la a frente, claro, para, bem, investigar coisas. - Um pouco.	CV1A71				
	CV1A61	Sem legioes? So tu? E de que me servem? - Nao adianta! - Nao adianta! Esta tudo perdido! O Portao da Barragem esta bloqueado, e a Galaia Estelar, que so pode nos levar mais fundo na escuridao e na loucura. - Nao, nao. Entao, e o fim. - Aqui esta. A senha para entrar nas minhas camaras e "boustrophedon". Esta num pedaco de pergaminho algures por aqui. Leva a senha e vai para os meus aposentos. Corta a ultima ancora e estamos prontos. Vais alcanca-los atraves de um transportador mistico, se conseguires passar por Methats, quer dizer.	CV1A6A	TRUE			E facil, amigo. O que e isto de uma galera de estrelas? Um fogao para cozinhar estrelas?	CV1A81		&MethatsName		
	CV1A71	Nao estou tao longe, jovem! Nao tens legioes e nenhuma vem. O Portao da Barragem esta bloqueado, e a Galaia Estelar, que so pode nos levar mais fundo na escuridao e na loucura. - Nao, nao. Entao, e o fim. - Aqui esta. A senha para entrar nas minhas camaras e "boustrophedon". Esta num pedaco de pergaminho algures por aqui. Leva a senha e vai para os meus aposentos. Corta a ultima ancora e estamos prontos. Vais alcanca-los atraves de um transportador mistico, se conseguires passar por Methats, quer dizer.	CV1A7A	TRUE			O que e que a frase significativa implica?	CV1A81		&MethatsName		
	CV1A81	Vens por aqui, nao tens uma legiao e sabes tudo! - Nada! - Nao! Vai para os meus aposentos. Todas as suas perguntas serao respondidas la. Entao, vais saborear o desespero total. Agora, va-se embora e deixe-me fazer as pazes com os meus antepassados.	CV1A8A	TRUE			- Sim, sim. Vou para os vossos aposentos imediatamente, onde tudo sera esclarecido. - Tenho a certeza. Talvez volte mais tarde para partilhar o teu desespero.	END		&Dismissed		
	CV1A91	Tu outra vez! Porque e que a ancora ainda esta intacta? Nao aprendeste nada?	CV1A9A	TRUE			Tem de haver uma saida.	CV1A01				
			CV1A9B	TRUE			O que querias dizer com aquilo? Cortar a ancora e estamos feitos?	CV1A01				
			CV1A9C	TRUE			O que e que eu devia fazer?	CV1A01				
			CV1A9D	&CogPage			Estive nos vossos quartos e li a vossa nota. Onde estao os outros engrenagens?	CV1B11				
	CV1A01	E SORDO e tambem SENHOR? Deixe-me tentar palavras muito pequenas. - Usar. O... Senha. - Usar. O... Teletransporte. Vai para os meus aposentos. Vai para os meus aposentos. - Vai. - Nao. - Para. - Meu Deus. Chambers. Todas as suas perguntas serao respondidas la. Agora vai!	CV1A0A	TRUE			- Sim, sim. - Obrigado, meu.	END		&Dismissed		
