		Dark Seducer					file DS2T.xls		Dark Seducer Talk2			
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	DS2B11	Sucesso ao Cacador cuja corrida e vencida. Doce descanso a Lebre cuja corrida esta terminada. O Vitor chama a Visao para a Morte, e chama a proxima Caca, se essa for a sua Vontade.	DS2B1A	TRUE			Renuncio a caca e as suas recompensas. Maldico a vossa caca e zomba da vossa lei.	DS2B21				
			DS2B1B				Chamo a caca selvagem aos cacadores. Caca o Herne e os seus companheiros!	DS2B31				
			DS2B1C				Chamo a caca selvagem contra ti, inimigo negro!	DS2B41				
			DS2B1D				Eu chamo a caca selvagem a Mehrunes Dagon!	DS2B51				
			DS2B1E				Eu chamo a caca selvagem... contra mim! - Nao, nao. Apanha-me se puderes.	DS2B61				
	DS2B21	E o teu direito, Victor. A caca acabou. Vai em paz, mortal. E reza, meu, para nunca mais me encontrares neste mundo ou em qualquer outro.	DS2B2A	TRUE			Talvez onde voce vem, esse tipo de conversa dura possa ser considerada muito elegante. Se nos voltarmos a ver, teras mais com que te preocupar do que com o estilo.	END	Teleport_0			
			DS2B2B	TRUE			A qualquer hora, em qualquer lugar, em qualquer lugar, Batlady.	END	Teleport_0			
	DS2B31	- Claro que sim. E sob a lei, uma caca justa e justa. Escuta, para a frente, a Lebre Inocente. A caca esta a comecar e o jogo esta a decorrer. Agora, desculpe-me enquanto aviso os Lebres. Pela lei, nao podes participar nesta caca, mortal. Saia desta ilha, se puder, mas nao me incomode mais com seus assuntos.	DS2B3A	TRUE			A proposito? Pode montar as cabecas e enquadra-las? Muito obrigado. - Adeus. - Adeus.	END	Teleport_0			
			DS2B3B	TRUE			Desculpe, Alado Um. Nao quis ser um fardo. Com a sua permissao, eu saio.	END	Teleport_0			
	DS2B41	A caca nao pode ser chamada ao Mestre da Caca, mortal. Declaro a tua chamada falsa e nego a caca. Pode deixar-me. - Agora mesmo. Enquanto ainda desfrutas do Santuario do Vitor. Mas se me tocares, desiste da tua imunidade. E sabe isto, mortal. Entao vou cacar-te e ensinar-te a respeitar a Lei e os teus superiores.	DS2B4A	TRUE			Oh, doces. Ajudar depois das aulas. Es tao generoso com o teu tempo e atencao. Ate la?	END	Teleport_0			
			DS2B4B	TRUE			Sabes, ameacas como essa sao irresistiveis. - Entao? Se te tocar, mesmo que so um pouco, vais ensinar-me uma licao. Que os Poderes abencoados me deem contencao.	END	Teleport_0			
	DS2B51	Perdeste a tua vocacao, mortal. Mostra um dom inesperado e nao muito bem-vindo para a comedia. Nao pode cacar o Senhor Dagon, pois ele nao pode ser convocado por causa desta caca por pessoas como voce. Decido que a tua chamada e falsa e nego a caca. Pode deixar-me. - Agora mesmo. Enquanto ainda desfrutas do Santuario do Vitor. Mas se me tocares, desiste da tua imunidade. E sabe isto, mortal. Entao vou cacar-te e ensinar-te o respeito pela Lei e pelos teus superiores.	DS2B5A	TRUE			- Nao, nao. Suponho que se o Lorde Dagon nao vem a Caca, a Caca deve vir a ele. E talvez possa ver-te la tambem, Senhora Negra? Ate la.	END	Teleport_0			
			DS2B5B	TRUE			Aposto que o Lorde Dagon e apenas um grande gato esquisito. Calcas de puta. Escondendo-se atras das saias da grande senhora voadora. - Nao. - Por assim dizer. Sem ofensa, mas o teu senhor nao pode dar ao luxo de equipar os seus lacaios? Nao e frio voar nu? Adeus, agora.	END	Teleport_0			
	DS2B61	Que interessante. Perguntei-me onde poderia estar a fonte da tua coragem, do teu poder, da tua invencibilidade. E agora eu sei. O teu dom e a loucura. Os maiores antagonistas sao ou absolutamente competentes, ou absolutamente loucos. Julgo que a sua caca e justa e sob a lei. Escuta, para a frente, a Lebre Inocente. A caca esta a comecar e o jogo esta a decorrer. Foge, louco, miseravel mortal, e da-nos um bom desporto.	DS2B6A	TRUE			Tally ho! - Nao, nao, nao!	END	Teleport_0			
