		Dark Seducer					file DS3T.xls					
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	DS3A11	Creio que o meu senhor e amante pode ter-te subestimado, mortal. Nao vou cometer nenhum erro. Mas devo admitir que tenho uma certa curiosidade em antecipacao as suas acoes e ao seu destino. Proponho as seguintes condicoes. Nao me ofendas, e eu nao te ofenderei. Ofende-me e nao espere misericordia. - Concordas?	DS3A1A	TRUE			De facto, concordo, minha senhora, e em troca ofereco-lhe as mesmas condicoes.	DS3A21				
			DS3A1B	TRUE			E o que constituiria uma ofensa contra si, minha senhora?	DS3A31				
			DS3A1C				A risco de parecer grosseiro, nao vou considerar condicoes de nenhum tipo de si ou da sua especie. Somos inimigos. Arma-te e protege-te, pois so com armas podemos resolver os conflitos entre nos. - Adeus. - Adeus.	END		&DarkMad		
	DS3A21	Com graca, senhor. E assim, com a vossa permissao, volto as minhas reflexoes sobre o abismo. Peco-lhe que nao perturbe as minhas meditacoes com mais palavras. - Bom dia. - Ola.	DS3A2A	TRUE			Vou honrar os seus desejos, especialmente para nao ofender. - Bom dia. - Ola.	END	Command 13	&DarkThink		
			DS3A2B				Certamente so a incomodaria se fosse absolutamente necessario, minha senhora. - Bom dia. - Ola.	END	Command 13	&DarkThink		
			DS3A2C				Se precisar de falar consigo, minha senhora, falo, mesmo que corra o risco de ofender. - Bom dia. - Ola.	END	Command 13	&DarkEnemy		
	DS3A31	Uma ofensa contra a minha pessoa, orgulho ou honra, mortal.	DS3A3A	TRUE			E se eu ameacasse o vosso senhor, suponho que constituiria uma ofensa a vossa honra, supondo tambem que estejam jurados ao Senhor Dagon?	DS3A41				
	DS3A41	- Sim, e verdade. - Sim, sim, sim. Compreendes-me perfeitamente.	DS3A4A	TRUE			Entao receio ofende-la, minha senhora. Desejo-lhe um bom dia.	END		&DarkEnemy		
			DS3A4B	TRUE			Um assunto dificil, minha senhora. Veja, eu desejo algo do seu senhor que ele pode nao querer conceder-me. Desejo a minha seguranca, a seguranca do meu amigo e o nosso regresso a Tamriel.	DS3A51				
	DS3A51	Conheco a mente do meu senhor. Creio que ele pode estar satisfeito em poupar a sua vida e a vida do seu companheiro, na condicao de ambos se ligarem a ele por solenes juramentos. O mal que lhe fizeste entristece-o, mas nao tanto que o cega para o teu valor como fiel servo. Por outro lado, tenho a certeza que ele nao consideraria o teu regresso a Tamriel.	DS3A5A	TRUE			Nao posso considerar servir ao Senhor Dagon, e nao consideraria abandonar a minha terra natal. Agradeco-lhe as suas palavras, mas duvido que os nossos assuntos possam ser resolvidos senao por uma disputa de armas. - Bom dia. - Ola.	END		&DarkEnemy		
			DS3A5b	TRUE			Entao, se eu e o meu companheiro fizermos um juramento ao servico de Dagon, as nossas vidas seriam poupadas?	DS3A61				
	DS3A61	- Sim, e verdade. Estou confiante de que o meu senhor vos concedera a vida de bom grado. E, alem disso, se o servirem bem, as vossas recompensas poderao ser grandes.	DS3A6A	TRUE			E que garantia teriamos de que o Lorde Dagon honraria o seu juramento e preservaria as nossas vidas?	DS3A71				
	DS3A71	- Nenhum. Criaturas humildes como tu nao tem poder para obrigar grandes senhores a prestar juramento. Mas considere: grandes senhores tornam-se grandes senhores atraindo para si servidores da mais alta qualidade. Tu e o teu companheiro provaram que sao dignos.	DS3A7A	TRUE			Entao nao temos garantias. Temos de confiar na generosidade e no julgamento sabio do Senhor Dagon.	DS3A81		&ServeDagon		
	DS3A81	Se voce tratar de boa fe, entao so seria no melhor interesse do meu senhor para preserva-lo, e ate mesmo encoraja-lo com presentes e status se tais fossem suas dessertos justos. Reconheci os seus meritos e tenho o ouvido do meu senhor. As minhas recomendacoes teriam muito peso para ele.	DS3A8A	TRUE			Deste-me muito para pensar. Obrigado e adeus.	END		&DarkThink		
	DS3A91	Ela arruma o nariz com desdem e ignora-te.	DS3A9A	TRUE				END				
	DS3A01	E ela olha para ti, desprezando-te.	DS3A0A	TRUE				END				
	DS3B11	Parece estar perdida em concentracao profunda e nao responde.	DS3B1A	TRUE				END				
