		Frost Daedra					file FT2T.xls			Frost Daedra Talk		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	FT2A11	Somos os Caes Menores. Arrastamos a terra para expulsar a Lebre, de acordo com as leis da caca selvagem.	FT2A1A	TRUE			Do que estas a falar? Nao es um Cao Menor. Es uma Daedra Frost. Nao me podes enganar.	FT2A21				
			FT2A1B	TRUE			Es mesmo um cao muito baixo.	END	MonsterAttack	&FrostMad		
			FT2A1C	TRUE			Estas a insinuar que sou um coelho?	FT2A21				
			FT2A1D	TRUE			Sou o Quebrador de Gelo. Eu uso a minha lamina para cortar gelo, de acordo com as leis da idiota Frost Daedra.	END	MonsterAttack	&FrostMad		
	FT2A21	Grr. Teremos um prazer especial em destruir-te, mortal! Foste tu que trouxeste a ira dos Nocturnals sobre os nossos parentes! Por tua causa, todos os Daedra Frost foram punidos pelo cerco da Sombra Perigosa! Por tua causa, ate a Frost Daedra que nao participou no cerco foi rebaixada. Ja nao somos iguais aos nossos parentes, os Daedra de Fogo! Os Daedra de Fogo podem ser os maiores caes, mas nos devemos ser os caes menores.	FT2A2A	TRUE			Por todos os poderes! Como pode suportar tal humilhacao?	FT2A01		&Blame		
			FT2A2B	TRUE			Eu mostraria um pouco de simpatia, mas voces estao a tentar matar-me! Estou farto de ouvir-te a chorar. - Adeus. - Adeus.	END	MonsterAttack			
			FT2A2C	TRUE			- Desculpa. Isso significa uma desgraca ainda maior quando eu passar pelos portoes e sair daqui e deixar voces a ladrar no nevoeiro?	FT2A31				
	FT2A31	Nao! - Nao, tu. Nunca. Nunca. - Olha. A unica saida e atraves do Templo dos Ritos Daedric.	FT2A3A	TRUE			Eu percebo que tu pensas que isso e importante, mas e uma coisa pequena para um heroi como eu.	FT2A41				
	FT2A41	Nao! Nunca. Nunca. Nem sequer consegues entrar em Granvellusa com a ponte levadica levantada, e mesmo que conseguisses, precisas das seis chaves.	FT2A4A	TRUE			- Nao, nao. Eu sei onde estao as seis chaves. Nao e um grande segredo.	FT2A61				
	FT2A61	Nao, nao. - Nao! Quem lhe disse?	FT2A6A	TRUE			Nao me vais enganar para me tornar um informante! A culpa nao e deles! Sabes que idiotas sao os Daedra de Fogo. Ninguem em sa consciencia diria um segredo a esses palhacos.	FT2A71				
	FT2A71	Mas... Mas... Mas... Eles disseram-te tudo?	FT2A7A	TRUE			O que e que achas?	FT2A81				
