		Herne Oathkin					file MA3T.xls			Mastema Boxers Talk		
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	MA3A11	Um menino. Como prometido. Para o nosso desporto. - Muito bem. - Muito bem.	MA3A1A	TRUE			O ultimo Herne que me achou bom desporto esta a vaporizar no Abismo, palhaco. Conheces o Egahirn?	MA3A31				
	MA3A12	- Nao. - Olha. Um brinquedo pequeno. So para brincarmos. Nao e a Nossa Senhora atenciosa?	MA3A1B	&Payem OR &Cess			- Ola, meu. Olha para o amuleto. - Nao, nao. Olha, mas nao toques. Entao, a sua Senhoria e eu, a Faydra, temos um pequeno plano. E pena que ela nao tenha pensado em informa-lo, mas... Acho que, dada a forma como a caca correu, voces nao cheiram tao bem, nao e? Portanto, mantenha distancia e de espaco ao Operador Real para se mover.	MA3A21				
			MA3A1C	&Payem OR &Cess			Este amuleto diz para nao mexer nas maos. - Esta claro? - Sim. E nao me atrapalhes, ou o que aconteceu ao Egahirn pode acontecer-te a ti.	MA3A41				
			MA3A1D				Olha, mas nao toques, espertinho. Tenho uma mensagem importante para a Faydra, e ela vai dar-me cabo se eu colocar os teus sumos gordos e gordurosos por todo o lado. Por isso, faz um favor e afasta-te, ou vou ter de te fazer um buraco grande o suficiente para te passar um barril.	01-33: MA3A41 34-66: MA3A51 67-00: MA3A71				
	MA3A21	Os caes podem usar amuletos. E encontra-los em lixeiras, onde eles se alimentam. Vem ca, caozinho, e vamos encontrar umas boas mamadas para tu chupar.	MA3A2A	TRUE			- Esta bem. - Esta bem. Agora, magoaste mesmo o meu orgulho. Acho que vou atirar-me a ti em furia. - Pronto? - Sim.	END	MonsteraAttack	&HerneMad		
	MA3A31	- Sim, e verdade. - Sim, e verdade. Egahirn e o nosso Oathkin, Playbrother, Lapmate e Lipfast. O que e que ele tem?	MA3A3A	TRUE			Ele pensava que era um Cacador, mas julgou mal a Lebre. Acabei de o espetar com a Lanca da Misericordia amarga, e acho que ele vai saltar pelo Cruel, Dark, and Deep por um bom tempo. - Entao? Alguem mais aqui quer lutar?	END	MonsteraAttack	&HerneMad		
	MA3A41	- Sim, sim. Bem, vai tratar dos teus assuntos, mortal, e para de estragar o meu ar.	MA3A4A	TRUE			Tens a lata de falar do meu cheiro. Ja cheiraste aquelas calcas que estas a usar ultimamente? - Nao. - Desculpa. - Desculpa. Nao calcas. Talvez possas lavar esse rabo. Ou rapa-lo.	END	MonsteraAttack	&HerneMad		
	MA3A51	- Nao. - Nao. - Nao. Uma mensagem para a Faydra. Da-me a mensagem, agora, mortal, e deixo-te viver.	MA3A5A	TRUE			- Nao. - Esta bem. - Esta bem. Aqui esta a mensagem. O saque esta no buraco escuro ao norte. Extra duplo segredo. Nao digas a ninguem. Nao ha assinatura. Sabes o que significa?	MA3A61				
	MA3A61	- Nao. Nao faco ideia. - Desculpe. - Nao. Acho que ouco o meu OathKin a chamar-me. - North Pit, disse? - Sim, e verdade. - Nao, nao. - Continua. A sala do trono da Faydra? Bem, pergunta a qualquer um.	MA3A6A	TRUE			- Nao, nao. Foi facil.	END	Teleport_0			
	MA3A71	- Nao. Entao, uma mensagem desaparece. Ela nunca vai saber. So preciso de carne de gente fresca e quente agora mesmo! Quemopee!	MA3A7A	TRUE			Conformarias-te com uns poucos cabelos? Nao, nao.	END	MonsteraAttack	&HerneMad		
							
	MA3A91	A Lady Faydra foi-se. Ja nao sinto a emocao dela no meu coracao. Nao, nao pode ser que tenhas alguma coisa a ver com isso, pois nao, Manling?	MA3A9A	TRUE			- Nao. - Claro que sim. - Fui eu. - Nao. Acabei de atirar a Senhora onde as estrelas nao brilham. E boa sorte. Velha bruxa ma.	END	MonsterAttack	&HerneMad		
			MA3A9B	TRUE			Desculpa desaponta-lo, mas nao tenho esse tipo de musculo. E perder a Senhora tambem me deu umas formigas no jantar, rapaz. Tinhamos planos para cozinhar. - Entao? Estava a pensar em ir la e magoar o Xivilai e o bando dele. Estas pronto para isso?	01-50: MA3A01 51-00: MA3B11				
	MA3A01	Talvez tenha feito o Faydra, e talvez nao. Nao importa para mim, agora. Estamos so nos e os nossos assuntos pessoais. E e hora de pagar pelo que fez ao meu Oathkin, Egahirn.	MA3A0A	TRUE			Isso e historia antiga. Mas vejo que te incomoda. - Esta bem. - Esta bem. Vamos tratar de assuntos inacabados.	END	MonsterAttack	&HerneMad		
	MA3B11	As coisas estao um pouco confusas agora, Manling. Acho que vou ficar aqui sentado, a ver para onde sopra o vento. Entao talvez seja melhor uma tregua temporaria. Se fores simpatico, eu tambem serei. E mais tarde, quando as coisas acalmarem, vem ver-me e teremos uma conversa agradavel.	MA3B1A	TRUE			Nao posso prometer nada. Mas estou um pouco exausto por partir os torsos e arrancar os bracos. Entao vamos ambos respirar um pouco.	END	PCTeam			
												
												
	MA3B21	Os olhos dele brilham de furia, mas ele nao diz uma palavra.	MA3B2A	TRUE				END				
	MA3B31	Ele te considera como um pouco mais do que o que tu pensas.	MA3B3A	TRUE				END				
	MA3B41	Que vos observa,	MA3B41	TRUE				END				
	MA3B51	Meu Deus! O que e que temos aqui? Um macaco? Um mago de batalha em forma de burro? Um manequim animado para o nosso desporto? Se fosse um homem, teriamos de o deixar em paz, pois sao ordens da minha senhora. Mas certamente, nao pode ser o homem, por isso podemos usa-lo para as nossas piadas.	MA3B6A	TRUE			- A serio? - Sim. Nao me reconheces? - Nao. - Eu entendo. Se e assim que queres jogar, esta-me bem.	END	MonsterAttack	&HerneMad		
												
