		Mehrunes Dagon					file ZZ1T.xls					
	Saycode	NPC SAY	Replycode	CHECK1	CHECK2	CHECK3	PC REPLY	GoTo	DO THIS ACTION	SET1	SET2	SET3
	ZZ1A11	- Finalmente. - Sim. Espero encontra-lo em boa saude. Estava a pensar no seu atraso.	ZZ1A1A	&Armor			Estou bem, Lorde Dagon, obrigado, embora nao possa dizer o mesmo dos seus criados que me dao as boas vindas.	ZZ1A21				
			ZZ1A1B	&NotArmor			Estou muito bem, Lorde Dagon. Muito bem, na verdade. Mais ou menos.	ZZ1A31				
			ZZ1A1C	&ServeDagon			- Sim, e verdade. - Nao, nao. Uma conversa que tive com um dos seus mais leais servidores, o Sedutor Negro, deu-me alguns pensamentos dignos de longa consideracao. Ela fez-me pensar que talvez estejas disposto a conceder-me a mim e ao meu companheiro as nossas vidas em troca de nos colocarmos ao teu servico.	ZZ1A01				
	ZZ1A21	- Parabens, meu. A tua armadura de pele do Salvador protege-te das forcas magicas que paralisam o teu amigo. Esta bem preparado, o que esta exactamente de acordo com o plano. Alguns artefatos importantes e valiosos fugiram-me ha muito tempo, e agora trazes-me-os.	ZZ1A2A	TRUE			Vejo que esta bem informado pelos seus espioes, os Sedutores, o que e exactamente de acordo com o meu plano. Certamente agora voce pensa que sabe tudo, e se torna descuidado, complacente e confiante demais.	ZZ1A41				
	ZZ1A31	Espero que nao se sinta muito incomodado pelas forcas magicas que usei para proteger o seu amigo de lutas inuteis. Na verdade, temo que estas forcas possam torna-lo indefeso por momentos. Desculpe, mas ao tornar a sua resistencia impossivel, so tenho o seu proprio bem-estar em mente.	ZZ1A3A	TRUE			Es tao atencioso. Desculpe-me por um momento enquanto me protejo da sua hospitalidade.	END		&DagonNoTalk		
	ZZ1A41	- Vamos la. Certamente um principe da Daedra nao pode temer nenhum mal de uma criatura humilde como tu.	ZZ1A4A	TRUE			- Ves? Descuidado, complacente e demasiado confiante, como disse. Suponha que esta criatura humilde conheca o segredo do seu protonimico? Como na abjurativa feiticeira, eu te exijo, Mehrunes Dagon, Lehkelogah, para os pocos do esquecimento? Como e que gostas das macas?	ZZ1A51				
	ZZ1A51	- Bem! Devo dizer que estou impressionado. - Muito bem! Voce e uma estudante promissora. No entanto, temo que tenha de lhe informar que, sem o meu neonimico, o protonimo nao lhe servira de nada. - Nao, nao.	ZZ1A5A	TRUE			Meu Deus! Que idiota sou eu. Agora vais fazer-me em po porque nao tenho o teu neonimo. - E louco. Mas... - Nao. Hoje sinto-me sortuda. Tao sortuda que aposto que posso adivinhar o teu neonimico. Vamos ver. Que tal? Djehkeleho-dehbe-efectohezepe? So um palpite, mas... Vamos tentar! Que tal: eu te desmito, Mehrunes Dagon, Lehkelogah, Djehkeleho-dehbe-effehezepe, para os pocos do esquecimento.	ZZ1A61				
	ZZ1A61	O QUE?! Seu inseto arrogante. Achas que podes sugar-me o poder e lancar-me no esquecimento. Bem, nao e tao simples assim. Enquanto o meu poder estiver ancorado neste mundo, posso resistir ao fluxo da minha magia. Se nao e para sempre, entao certamente o suficiente para te explodir a ti e ao teu encantamento em silabas componentes. E considera, idiota. Nenhuma arma mortal ja forjada tem o poder de cortar a minha ancora neste reino.	ZZ1A6A	&Reiver			- Claro que sim. Como pude ser tao tolo para ter vindo ate aqui sem uma arma para cortar os vossos lacos com este reino? So uma arma forjada da tua propria substancia pode fazer-te mal. Mas... - Espera, espera. Olha o que tenho aqui. A Espada da Lua Reiver, forjada pessoalmente da tua propria essencia para o teu guarda-costas e amante, o Sedutor Negro, que recentemente caiu em combate. E exagerado esperar que esta arma seja a arma que preciso?	ZZ1A81				
			ZZ1A6B	&NotReiver			- Nao. - Entao? Preciso de uma arma especial, ou estou condenado. - Isso e mau.	ZZ1A71				
	ZZ1A71	E assim mesmo. - Esta condenado. Por isso, por favor, aceita a minha hospitalidade. Eu preparei acomodacoes para voces. Modesto, escasso, mas extremamente seguro. Agora es minha. Venham, meus soldados! Agarrem-no e levem-no.	ZZ1A7A	TRUE			- E louco.	END	ENDFRAME_1057			
	ZZ1A81	Mil maldicoes! Tens razao, mortal. Fui um tolo. Erros foram cometidos. Mas nao mais. Vais morrer agora. Antes que mais erros sejam cometidos.	ZZ1A8A	TRUE			Vejo que te exagerei. So preciso de uns momentos de descanso do teu poder terrivel. Ninguem me pode ajudar? Ninguem me protegera durante os instantes necessarios para dar o golpe decisivo? - Que merda. Se soubesse como contactar o meu velho amigo e aliado, que me deve um favor... - Nao, nao. Pelo vosso generoso juramento, convoco-vos! Venha ja! E uma altura muito, muito boa!	END	DialogLink_13			
	ZZ1A91	O Dagon olha para ti, mas nao diz nada.	ZZ1A9A	TRUE				END				
	ZZ1A01	- Sim, sim, sim. Prefiro preservar as excelentes virtudes de si e do seu companheiro, particularmente no meu servico, mas mais urgentemente porque estou comovido com a sua coragem e inteligencia, e a sua lealdade ao seu amigo. Tais sao as caracteristicas do mais querido dos servidores.	ZZ1A0A	&PCFemale			Bem, entao, eu juro, pela minha honra, e pela honra do meu companheiro, que atualmente nao pode falar em seu proprio nome, para servir a voce, Lorde Dagon, e desfrutar da protecao do seu servico, em troca da sua garantia da preservacao das nossas vidas e em consideracao ao favor que nos mostra por cessar os nossos ataques contra sua pessoa, propriedade e servidores.	ZZ1B11				
			ZZ1A0B	&PCMale			Bem, entao, eu juro, pela minha honra, e pela honra da minha companheira, que nao pode falar por si mesma, servir-lhe, Lorde Dagon, e desfrutar da protecao do seu servico, em troca da sua garantia da preservacao das nossas vidas, e em consideracao do favor que nos mostra por cessar os nossos ataques a sua pessoa, propriedade e servidores.	ZZ1B11				
	ZZ1B11	Bem dito, mortal. Tens a alma de um advogado. Aceito a sua homenagem e a homenagem do seu companheiro, e nos seus termos, como foi dito. Dou-lhe as boas vindas e uma longa e educativa vida no meu servico.	ZZ1B1A	TRUE			Educativo? Nao gosto muito do som disso.	END	ENDFRAME_1057
